nombre,edad,observaciones,historial_medico,fotos,tipo_animal_Ave,tipo_animal_Gato,tipo_animal_Perro,tipo_animal_Roedor,raza_Bengalí,raza_Bulldog,raza_Cacatúa,raza_Canario,raza_Cobaya,raza_Conejo,raza_Golden Retriever,raza_Hámster,raza_Jerbo,raza_Labrador,raza_Loro Gris Africano,raza_Maine Coon,raza_Pastor Alemán,raza_Periquito,raza_Persa,raza_Pinzón,raza_Poodle,raza_Ragdoll,raza_Rata,raza_Siamés,tamanio_Grande,tamanio_Mediano,tamanio_Pequeño,temperamento_Activo,temperamento_Nervioso,temperamento_Sociable,temperamento_Tranquilo,tipo_alimentacion_Húmedo,tipo_alimentacion_Mixto,tipo_alimentacion_Seco,ubicacion_Amate,ubicacion_Bami,ubicacion_Bellavista-La Palmera,ubicacion_Centro,ubicacion_Cerro-Amate,ubicacion_El Plantinar,ubicacion_Este-Alcosa-Torreblanca,ubicacion_Huerta del Rey,ubicacion_La Cartuja,ubicacion_Los Remedios,ubicacion_Macarena,ubicacion_Nervión,ubicacion_Padre Pío-Palmete,ubicacion_Pino Montano,ubicacion_Polígono San Pablo,ubicacion_San Jerónimo,ubicacion_San Pablo-Santa Justa,ubicacion_Sur,ubicacion_Triana,necesidades_especiales_False,necesidades_especiales_True,nivel_actividad_Bajo,nivel_actividad_Medio,nivel_actividad_Alto,socializacion_No sociable,socializacion_Sociable con otros animales,socializacion_Sociable con personas
Santos,10.0,A porro error id.,Eligendi suscipit aut suscipit.,https://dummyimage.com/857x781,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Fermín,2.0,Vitae incidunt laudantium qui a illum.,Quod suscipit architecto quis doloribus vero.,https://picsum.photos/542/67,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Luna,0.9,Voluptas placeat voluptatum excepturi.,Sint quibusdam natus porro ipsam ad doloremque.,https://dummyimage.com/423x359,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Quique,0.30000000000000004,Cupiditate error sequi quos ipsam incidunt.,Ea quos quo.,https://placekitten.com/84/444,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Merche,4.0,Quaerat nostrum soluta laudantium.,Qui deserunt in saepe itaque est.,https://placekitten.com/235/439,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Victor,1.6,Tenetur quo voluptas autem aliquam.,Officiis dignissimos aperiam fugit laborum.,https://dummyimage.com/90x580,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Moisés,0.8,Minus molestiae velit tempora aliquam odit alias.,Quasi animi autem explicabo aut rem corporis.,https://picsum.photos/27/86,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Ambrosio,19.0,Explicabo deserunt repellendus deleniti similique occaecati.,Natus laudantium veniam aliquam officia labore.,https://picsum.photos/864/424,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Benjamín,1.0,Aspernatur laudantium hic mollitia eveniet.,Aspernatur ducimus necessitatibus consectetur.,https://picsum.photos/91/897,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Calisto,1.1,Facere doloribus et aliquam sed autem sit quas.,Modi natus et cumque.,https://placekitten.com/984/621,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
María Del Carmen,3.0,Sunt minima eos molestias.,Non natus saepe possimus.,https://placekitten.com/157/154,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Bartolomé,2.0,Facere vitae in recusandae saepe ea.,Provident quidem optio necessitatibus dicta excepturi dolor in.,https://placekitten.com/364/847,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
Odalis,1.8,Rerum blanditiis possimus aut.,Aperiam saepe veritatis omnis quo.,https://picsum.photos/908/143,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Josefa,12.0,Mollitia facilis hic officia fugit adipisci.,Iste praesentium reprehenderit consequuntur necessitatibus eos cupiditate.,https://dummyimage.com/12x661,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Leocadio,2.0,Placeat cupiditate aliquam voluptate dolores ex.,Nemo repudiandae autem accusantium voluptatem officiis dicta.,https://picsum.photos/313/583,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Angelina,8.0,Repellat molestias reprehenderit nesciunt officia praesentium.,A magni nihil maxime.,https://dummyimage.com/434x232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
Rafael,5.0,Debitis quia porro dolor.,Vero quisquam quos labore soluta sunt.,https://placekitten.com/567/316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Ulises,10.0,Cumque nesciunt numquam.,Placeat nostrum voluptatibus odio.,https://picsum.photos/312/387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Úrsula,1.4,Atque quaerat at nihil officia reiciendis.,Error amet impedit dolores.,https://picsum.photos/689/957,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Benigna,4.0,Similique perferendis recusandae quam non neque.,Eveniet quisquam ad amet.,https://picsum.photos/833/989,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
Ale,9.0,Adipisci at quos expedita laborum suscipit recusandae.,Ipsum totam ratione dolores.,https://placekitten.com/343/964,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Natalio,14.0,Culpa soluta sit facilis rerum.,Natus laborum reiciendis nemo et dolor.,https://placekitten.com/282/389,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Teobaldo,4.0,Accusamus natus eligendi beatae eius saepe blanditiis.,Commodi natus autem nobis quo odit.,https://picsum.photos/233/579,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Perla,7.0,Vitae quam natus et facere nisi natus.,Voluptatum quam minus quam asperiores.,https://dummyimage.com/549x516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
Zaida,1.8,Sapiente facere impedit ratione praesentium a.,Ex quis alias qui.,https://picsum.photos/941/879,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Enrique,16.0,Dignissimos nemo architecto reprehenderit.,Accusantium quos alias aliquid eius.,https://placekitten.com/372/933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
Saturnino,7.0,Sequi esse nisi dolores ipsam eveniet expedita.,Nesciunt earum provident nisi impedit totam necessitatibus.,https://picsum.photos/275/3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
Cristian,18.0,Velit assumenda dignissimos debitis neque.,Tenetur natus quo in perspiciatis.,https://dummyimage.com/68x269,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Abilio,6.0,Fugiat ipsum molestias soluta eveniet incidunt.,Quibusdam laudantium optio.,https://placekitten.com/817/384,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Hilda,0.7000000000000001,Voluptatum eaque incidunt illo suscipit odit quo.,Ut enim magnam ratione.,https://picsum.photos/706/660,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Palmira,3.0,Commodi nam temporibus debitis recusandae modi.,Eum neque tenetur repellendus nobis optio officiis.,https://dummyimage.com/654x535,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Juan Bautista,0.7000000000000001,Provident harum asperiores neque numquam voluptates.,Nostrum reprehenderit sed a.,https://placekitten.com/290/66,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Juan,4.0,Necessitatibus cumque adipisci corporis dolore aspernatur sequi.,Libero itaque nam iusto voluptatem autem magni.,https://dummyimage.com/359x846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Anabel,1.0,Cumque voluptas sequi optio incidunt repudiandae.,Praesentium neque voluptates corrupti quas.,https://dummyimage.com/296x286,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Cintia,2.0,Quo asperiores exercitationem tempore veritatis labore vel.,Officia reprehenderit odio itaque.,https://dummyimage.com/325x834,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Odalis,1.4,Eaque optio illum molestiae.,Nesciunt voluptatibus deserunt voluptatem ipsam.,https://placekitten.com/863/196,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Jose Carlos,14.0,Veritatis vero fugit officiis.,Dolorum neque excepturi.,https://placekitten.com/669/883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Marina,5.0,Distinctio eos a deserunt ducimus.,Totam quibusdam quos omnis ducimus illum.,https://placekitten.com/517/320,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Aarón,15.0,Nam incidunt suscipit tempore velit animi.,Deleniti odit consequatur fugit.,https://placekitten.com/32/503,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Dionisio,2.0,Dignissimos amet veritatis hic suscipit animi.,Quasi esse molestias a.,https://picsum.photos/218/381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Violeta,2.0,Tempora minima natus soluta provident commodi dolore.,Veniam distinctio blanditiis incidunt.,https://placekitten.com/564/600,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
Jennifer,14.0,Vel hic doloremque quas minima cupiditate ullam.,Inventore architecto modi deserunt.,https://picsum.photos/396/515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Gaspar,14.0,Debitis provident ad.,Laboriosam nisi a rerum a maiores.,https://dummyimage.com/91x479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Lupe,12.0,Minus error voluptate ea perferendis.,Dolorum non cum hic molestias ducimus.,https://picsum.photos/640/975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Virginia,5.0,Hic qui fuga enim.,Voluptatum dignissimos corrupti voluptate possimus.,https://picsum.photos/258/585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Javier,1.2,Asperiores dolore exercitationem animi similique.,Aut exercitationem omnis necessitatibus eaque dolore.,https://dummyimage.com/989x9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
Luna,15.0,Eveniet alias soluta modi.,Voluptas quia voluptates illo sapiente praesentium.,https://dummyimage.com/617x961,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Enrique,11.0,Ducimus ex doloribus quia laboriosam id qui.,Dignissimos sunt veritatis nisi harum.,https://picsum.photos/705/620,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Gabriela,2.0,Quos minus commodi quae cupiditate dolores iste.,Totam doloremque fugiat perferendis vitae et.,https://picsum.photos/383/340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Paloma,3.0,Libero praesentium error cumque placeat voluptatibus.,Dolorum eligendi animi officiis sequi error repellendus.,https://placekitten.com/569/449,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
